"FlipDev Extensions","FlipDev Extensions"
"Core Settings","Core Settings"
"General Settings","General Settings"
"Enable FlipDev Extensions","Enable FlipDev Extensions"
"License Key","License Key"
"Enter your license key","Enter your license key"
"Developer Settings","Developer Settings"
"Debug Mode","Debug Mode"
"Enable debug mode for detailed logging","Enable debug mode for detailed logging"
"Custom Log File","Custom Log File"
"Custom log file name (default: flipdev.log)","Custom log file name (default: flipdev.log)"
"Module Version","Module Version"
"Current installed version","Current installed version"
"Installed FlipDev Modules","Installed FlipDev Modules"
"List of all installed FlipDev modules and their versions","List of all installed FlipDev modules and their versions"
"FlipDev Core Module Information","FlipDev Core Module Information"
"Configuration:","Configuration:"
"Enabled:","Enabled:"
"Yes","Yes"
"No","No"
"Debug Mode:","Debug Mode:"
"Log File:","Log File:"
"Installed FlipDev Modules:","Installed FlipDev Modules:"
"No FlipDev modules found.","No FlipDev modules found."
"No FlipDev modules installed.","No FlipDev modules installed."
"Display FlipDev module information","Display FlipDev module information"
"Module: %1","Module: %1"
"Version: %1","Version: %1"
"File ""%1"" uploaded successfully (%2)","File ""%1"" uploaded successfully (%2)"
"Product saved","Product saved"
"Upload failed: %1","Upload failed: %1"
"Cleanup completed!","Cleanup completed!"
"Starting cleanup...","Starting cleanup..."
"Found %d FlipDev modules","Found %d FlipDev modules"
"Cleanup command executed","Cleanup command executed"
"Product added to cart","Product added to cart"
